family,prior,auprc,lift
inside,0.0249420521693709,0.7467282462691093,29.938523552908602
grasped,0.06292502115985174,0.8543946713434687,13.577979665593205
should-move-towards,0.10374164550681493,0.9054773236619895,8.728195032093572
in-front-of,0.43914167763008666,0.985897933058534,2.245056620756351
behind,0.43914167763008666,0.9859230584045439,2.245113835425859
right-of,0.5160243661425694,0.9920964096927012,1.9225766705288174
left-of,0.5160243661425694,0.9921098386540572,1.9226026944187946
on-floor,0.9406502641333216,0.9981052824310428,1.061080105356243
